"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"02/18/2017","82","PM2.5","NEWBURGH","36-071-0002","AQS","10","51","26","82","56"
"02/19/2017","60","PM2.5","PS 19","36-061-0128","AQS","8","47",".","60","56"
"02/20/2017","55","PM2.5","NEWBURGH","36-071-0002","AQS","8","44",".","55","25"
"02/21/2017","75","PM2.5","NEWBURGH","36-071-0002","AQS","7","44",".","75","51"
"02/22/2017","62","PM2.5","Rahway","34-039-2003","AQS","9","37",".","62","55"
"02/23/2017","79","PM2.5","Jersey City Firehouse","34-017-1003","AQS","14","41",".","79","60"
"02/24/2017","51","NO2","IS 52","36-005-0110","AQS","13","44","25","49","51"
"02/25/2017","40","Ozone","Flemington","34-019-0001","AQS","6","40",".","32","34"
"02/26/2017","38","PM2.5","PS 19","36-061-0128","AQS","3","36",".","38","24"
"02/27/2017","53","PM2.5","PS 19","36-061-0128","AQS","6","41","12","53","46"
"02/28/2017","57","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","43",".","57","53"
"03/01/2017","52","PM2.5","Intermediate School 143","36-061-0115","AQS","8","38",".","52","42"
"03/02/2017","44","Ozone","Leonia","34-003-0006","AQS","3","44","19","41","21"
"03/03/2017","55","PM2.5","PS 19","36-061-0128","AQS","3","40",".","55","26"
"03/04/2017","54","PM2.5","PS 19","36-061-0128","AQS","6","40",".","54","15"
"03/05/2017","48","PM2.5","PS 19","36-061-0128","AQS","6","40","5","48","41"
"03/06/2017","60","PM2.5","Flemington","34-019-0001","AQS","10","42",".","60","48"
"03/07/2017","66","PM2.5","Newark Firehouse","34-013-0003","AQS","15","47",".","66","51"
"03/08/2017","54","PM2.5","MASPETH LIBRARY","36-081-0120","AQS","13","47","13","54","40"
"03/09/2017","52","PM2.5","MASPETH LIBRARY","36-081-0120","AQS","3","50",".","52","23"
"03/10/2017","41","Ozone","Ramapo","34-031-5001","AQS","5","41",".","35","32"
"03/11/2017","40","Ozone","Chester","34-027-3001","AQS","3","40","5","30","12"
"03/12/2017","45","PM2.5","NEWBURGH","36-071-0002","AQS","3","38",".","45","15"
"03/13/2017","40","Ozone","Colliers Mills","34-029-0006","AQS","6","40",".","39","39"
"03/14/2017","75","PM2.5","PS 19","36-061-0128","AQS","6","40","6","75","25"
"03/15/2017","42","Ozone","MT NINHAM","36-079-0005","AQS","5","42",".","33","21"
"03/16/2017","48","Ozone","Chester","34-027-3001","AQS","5","48",".","41","34"
"03/17/2017","51","Ozone","Flemington","34-019-0001","AQS","6","51","13","45","51"
"03/18/2017","78","NO2","QUEENS COLLEGE 2","36-081-0124","AQS","13","48",".","73","78"
"03/19/2017","51","Ozone","Leonia","34-003-0006","AQS","6","51",".","32","42"
"03/20/2017","67","Ozone","Flemington","34-019-0001","AQS","7","67","12","39","60"
"03/21/2017","60","NO2","Fort Lee Near Road","34-003-0010","AQS","7","58","21","53","60"
"03/22/2017","45","PM2.5","NEWBURGH","36-071-0002","AQS","5","44",".","45","43"
"03/23/2017","50","NO2","Fort Lee Near Road","34-003-0010","AQS","6","44","7","39","50"
"03/24/2017","55","NO2","QUEENS COLLEGE 2","36-081-0124","AQS","7","48",".","52","55"
"03/25/2017","68","PM2.5","Elizabeth Lab","34-039-0004","AQS","10","37",".","68","53"
"03/26/2017","57","PM2.5","PS 19","36-061-0128","AQS","7","41","13","57","25"
"03/27/2017","65","PM2.5","PS 19","36-061-0128","AQS","10","37",".","65","52"
"03/28/2017","67","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","37",".","67","41"
"03/29/2017","46","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","7","46","4","24","36"
"03/30/2017","46","NO2","Fort Lee Near Road","34-003-0010","AQS","8","44",".","35","46"
"03/31/2017","44","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","8","44",".","27","42"
"04/01/2017","42","Ozone","RIVERHEAD","36-103-0004","AQS","7","42","6","22","25"
"04/02/2017","45","Ozone","Leonia","34-003-0006","AQS","5","45",".","27","36"
"04/03/2017","69","NO2","Newark Firehouse","34-013-0003","AQS","13","49",".","55","69"
"04/04/2017","56","NO2","Elizabeth Lab","34-039-0004","AQS","7","44","12","55","56"
"04/05/2017","60","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","43",".","60","42"
"04/06/2017","50","PM2.5","PS 19","36-061-0128","AQS","7","42",".","50","45"
"04/07/2017","39","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","7","39","5","30","26"
"04/08/2017","45","Ozone","Colliers Mills","34-029-0006","AQS","5","45","6","21","20"
"04/09/2017","61","Ozone","Chester","34-027-3001","AQS","5","61",".","32","47"
"04/10/2017","97","Ozone","Chester","34-027-3001","AQS","7","97","16","55","57"
"04/11/2017","122","Ozone","Flemington","34-019-0001","AQS","7","122",".","63","56"
"04/12/2017","78","NO2","Elizabeth Lab","34-039-0004","AQS","10","54",".","63","78"
"04/13/2017","48","Ozone","Flemington","34-019-0001","AQS","5","48","10","26","33"
"04/14/2017","61","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","7","61",".","41","43"
"04/15/2017","56","NO2","IS 52","36-005-0110","AQS","6","51",".","37","56"
"04/16/2017","71","Ozone","Colliers Mills","34-029-0006","AQS","5","71","14","57","26"
"04/17/2017","51","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","5","51",".","25","32"
"04/18/2017","54","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","5","54",".","29","24"
"04/19/2017","43","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","5","43","19","35","43"
"04/20/2017","56","PM2.5","Jersey City Firehouse","34-017-1003","AQS","8","39",".","56","39"
"04/21/2017","52","PM2.5","Rutgers University","34-023-0011","AQS","8","41",".","52","32"
"04/22/2017","51","NO2","Queens College Near Road","36-081-0125","AQS","6","34","6","40","51"
"04/23/2017","42","Ozone","MILLBROOK","36-027-0007","AQS","6","42",".","21","31"
"04/24/2017","45","PM2.5","Newark Firehouse","34-013-0003","AQS","9","43",".","45","37"
"04/25/2017","41","NO2","Elizabeth Lab","34-039-0004","AQS","6","39","10","27","41"
"04/26/2017","41","NO2","Elizabeth Lab","34-039-0004","AQS","8","32",".","40","41"
"04/27/2017","52","PM2.5","Jersey City Firehouse","34-017-1003","AQS","8","40",".","52","37"
"04/28/2017","90","Ozone","Colliers Mills","34-029-0006","AQS","7","90","20","61","62"
"04/29/2017","51","Ozone","RIVERHEAD","36-103-0004","AQS","7","51",".","45","45"
"04/30/2017","43","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","5","43",".","38","18"
"05/01/2017","55","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","31","27","55","42"
"05/02/2017","49","Ozone","Colliers Mills","34-029-0006","AQS","11","49",".","41","24"
"05/03/2017","44","Ozone","MT NINHAM","36-079-0005","AQS","9","44",".","20","23"
"05/04/2017","48","Ozone","MT NINHAM","36-079-0005","AQS","8","48","13","40","47"
"05/05/2017","42","NO2","Elizabeth Lab","34-039-0004","AQS","9","40",".","33","42"
"05/06/2017","41","Ozone","RIVERHEAD","36-103-0004","AQS","8","41",".","40","27"
"05/07/2017","36","Ozone","RIVERHEAD","36-103-0004","AQS","7","36","6","20","14"
"05/08/2017","38","Ozone","Flemington","34-019-0001","AQS","7","38",".","31","35"
"05/09/2017","48","Ozone","Colliers Mills","34-029-0006","AQS","6","48",".","40","37"
"05/10/2017","54","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","44","17","54","44"
"05/11/2017","55","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","40",".","55","41"
"05/12/2017","43","NO2","Elizabeth Lab","34-039-0004","AQS","7","39",".","35","43"
"05/13/2017","38","Ozone","MT NINHAM","36-079-0005","AQS","6","38","5","25","22"
"05/14/2017","45","Ozone","Leonia","34-003-0006","AQS","3","45",".","21","22"
"05/15/2017","39","Ozone","Colliers Mills","34-029-0006","AQS","3","39",".","23","24"
"05/16/2017","61","Ozone","Colliers Mills","34-029-0006","AQS","6","61",".","33","52"
"05/17/2017","136","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","7","136",".","62","48"
"05/18/2017","140","Ozone","RIVERHEAD","36-103-0004","AQS","6","140",".","67","40"
"05/19/2017","101","Ozone","BABYLON","36-103-0002","AQS","6","101","33","62","44"
"05/20/2017","38","Ozone","Leonia","34-003-0006","AQS","6","38",".","34","26"
"05/21/2017","46","Ozone","MILLBROOK","36-027-0007","AQS","5","46",".","30","25"
"05/22/2017","40","PM2.5","DIVISION STREET","36-061-0134","AQS","9","33","12","40","34"
"05/23/2017","54","NO2","Fort Lee Near Road","34-003-0010","AQS","7","46",".","52","54"
"05/24/2017","50","NO2","Fort Lee Near Road","34-003-0010","AQS","6","48",".","45","50"
"05/25/2017","42","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","40","8","42","39"
"05/26/2017","40","Ozone","BABYLON","36-103-0002","AQS","5","40","9","22","25"
"05/27/2017","40","Ozone","Colliers Mills","34-029-0006","AQS","6","40",".","28","34"
"05/28/2017","44","PM2.5","Fort Lee Library","34-003-0003","AQS","6","44","11","44","33"
"05/29/2017","33","Ozone","Colliers Mills","34-029-0006","AQS","5","33",".","22","22"
"05/30/2017","31","PM2.5","Jersey City Firehouse","34-017-1003","AQS","5","31",".","31","29"
"05/31/2017","58","Ozone","Rutgers University","34-023-0011","AQS","7","58","17","45","45"
"06/01/2017","71","Ozone","Colliers Mills","34-029-0006","AQS","6","71",".","52","40"
"06/02/2017","50","PM2.5","Elizabeth Lab","34-039-0004","AQS","5","48","14","50","41"
"06/03/2017","52","PM2.5","Elizabeth Lab","34-039-0004","AQS","3","41","9","52","34"
"06/04/2017","44","Ozone","Colliers Mills","34-029-0006","AQS","6","44",".","43","35"
"06/05/2017","65","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","38",".","65","42"
"06/06/2017","40","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","27","7","40","30"
"06/07/2017","47","NO2","Fort Lee Near Road","34-003-0010","AQS","7","41",".","35","47"
"06/08/2017","71","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","43",".","71","41"
"06/09/2017","58","Ozone","Colliers Mills","34-029-0006","AQS","5","58","12","55","35"
"06/10/2017","112","Ozone","Leonia","34-003-0006","AQS","5","112",".","60","35"
"06/11/2017","108","Ozone","BABYLON","36-103-0002","AQS","5","108",".","73","27"
"06/12/2017","159","Ozone","BABYLON","36-103-0002","AQS","6","159","32","72","37"
"06/13/2017","156","Ozone","RIVERHEAD","36-103-0004","AQS","6","156","24","71","38"
"06/14/2017","70","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","61",".","70","38"
"06/15/2017","47","Ozone","Chester","34-027-3001","AQS","6","47","17","46","37"
"06/16/2017","52","PM2.5","Elizabeth Lab","34-039-0004","AQS","10","28",".","52","32"
"06/17/2017","52","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","32",".","52","28"
"06/18/2017","53","PM2.5","PFIZER LAB SITE","36-005-0133","AQS","7","40","22","53","20"
"06/19/2017","50","PM2.5","Newark Firehouse","34-013-0003","AQS","7","35",".","50","26"
"06/20/2017","74","Ozone","Colliers Mills","34-029-0006","AQS","3","74",".","69","40"
"06/21/2017","97","Ozone","RIVERHEAD","36-103-0004","AQS","5","97","13","60","29"
"06/22/2017","126","Ozone","Rutgers University","34-023-0011","AQS","6","126",".","64","57"
"06/23/2017","62","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","46",".","62","34"
"06/24/2017","44","Ozone","Leonia","34-003-0006","AQS","6","44","16","35","26"
"06/25/2017","54","Ozone","Leonia","34-003-0006","AQS","5","54",".","33","31"
"06/26/2017","67","Ozone","Colliers Mills","34-029-0006","AQS","5","67",".","45","37"
"06/27/2017","64","Ozone","BABYLON","36-103-0002","AQS","5","64","8","55","40"
"06/28/2017","53","PM2.5","Jersey City Firehouse","34-017-1003","AQS","3","43",".","53","25"
"06/29/2017","93","Ozone","Flemington","34-019-0001","AQS","5","93",".","48","36"
"06/30/2017","129","Ozone","Leonia","34-003-0006","AQS","5","129","31","61","27"
"07/01/2017","46","PM2.5","Jersey City Firehouse","34-017-1003","AQS","5","34",".","46","25"
"07/02/2017","77","Ozone","Colliers Mills","34-029-0006","AQS","5","77",".","52","26"
"07/03/2017","97","Ozone","BABYLON","36-103-0002","AQS","7","97","14","56","66"
"07/04/2017","81","PM2.5","HOLTSVILLE","36-103-0009","AQS","7","80",".","81","47"
"07/05/2017","77","PM2.5","Rutgers University","34-023-0011","AQS","7","51",".","77","42"
"07/06/2017","52","PM2.5","Jersey City Firehouse","34-017-1003","AQS","5","36","18","52","24"
"07/07/2017","44","Ozone","Flemington","34-019-0001","AQS","6","44",".","38","43"
"07/08/2017","80","Ozone","RIVERHEAD","36-103-0004","AQS","6","80",".","59","32"
"07/09/2017","48","PM2.5","Jersey City Firehouse","34-017-1003","AQS","5","48","8","48","34"
"07/10/2017","61","Ozone","MILLBROOK","36-027-0007","AQS","6","61",".","56","38"
"07/11/2017","97","Ozone","RIVERHEAD","36-103-0004","AQS","6","97",".","54","53"
"07/12/2017","108","Ozone","RIVERHEAD","36-103-0004","AQS","7","108","23","65","42"
"07/13/2017","119","Ozone","RIVERHEAD","36-103-0004","AQS","6","119",".","63","27"
"07/14/2017","38","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","26",".","38","22"
"07/15/2017","67","Ozone","BABYLON","36-103-0002","AQS","6","67","7","40","21"
"07/16/2017","64","Ozone","PFIZER LAB SITE","36-005-0133","AQS","6","64",".","32","29"
"07/17/2017","80","Ozone","Rockland County","36-087-0005","AQS","6","80",".","52","38"
"07/18/2017","80","Ozone","MT NINHAM","36-079-0005","AQS","5","80","13","45","31"
"07/19/2017","112","Ozone","Colliers Mills","34-029-0006","AQS","6","112",".","57","49"
"07/20/2017","122","Ozone","Colliers Mills","34-029-0006","AQS","7","122",".","70","47"
"07/21/2017","80","Ozone","Colliers Mills","34-029-0006","AQS","6","80","14","66","38"
"07/22/2017","136","Ozone","IS 52","36-005-0110","AQS","7","136",".","58","24"
"07/23/2017","74","Ozone","QUEENS COLLEGE 2","36-081-0124","AQS","15","74",".","66","19"
"07/24/2017","38","Ozone","Colliers Mills","34-029-0006","AQS","18","38","10","35","34"
"07/25/2017","36","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","31",".","36","27"
"07/26/2017","45","Ozone","WHITE PLAINS","36-119-2004","AQS","3","45",".","35","25"
"07/27/2017","44","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","43","15","44","40"
"07/28/2017","80","Ozone","Flemington","34-019-0001","AQS","8","80",".","67","39"
"07/29/2017","52","PM2.5","Jersey City Firehouse","34-017-1003","AQS","5","31",".","52","17"
"07/30/2017","45","Ozone","Colliers Mills","34-029-0006","AQS","5","45","12","31","41"
"07/31/2017","100","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","6","100","12","64","45"
"08/01/2017","122","Ozone","BABYLON","36-103-0002","AQS","7","122",".","64","40"
"08/02/2017","74","PM2.5","IS 52","36-005-0110","AQS","8","61","21","74","48"
"08/03/2017","108","Ozone","MT NINHAM","36-079-0005","AQS","9","108",".","63","54"
"08/04/2017","52","PM2.5","Jersey City Firehouse","34-017-1003","AQS","7","49",".","52","33"
"08/05/2017","48","Ozone","RIVERHEAD","36-103-0004","AQS","5","48","10","27","22"
"08/06/2017","51","PM2.5","Jersey City Firehouse","34-017-1003","AQS","5","33",".","51","25"
"08/07/2017","43","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","33",".","43","42"
"08/08/2017","38","NO2","Queens College Near Road","36-081-0125","AQS","5","37","11","33","38"
"08/09/2017","87","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","7","87",".","68","37"
"08/10/2017","71","Ozone","Chester","34-027-3001","AQS","7","71",".","60","57"
"08/11/2017","71","Ozone","MILLBROOK","36-027-0007","AQS","5","71","15","50","38"
"08/12/2017","44","Ozone","MILLBROOK","36-027-0007","AQS","5","44",".","34","32"
"08/13/2017","58","PM2.5","Jersey City Firehouse","34-017-1003","AQS","6","44",".","58","31"
"08/14/2017","57","PM2.5","IS 45","36-061-0079","AQS","8","45","14","57","40"
"08/15/2017","55","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","43",".","55","53"
"08/16/2017","67","Ozone","Monmouth University","34-025-0005","AQS","8","67",".","55","51"
"08/17/2017","61","Ozone","Chester","34-027-3001","AQS","8","61","19","52","26"
"08/18/2017","55","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","35",".","55","36"
"08/19/2017","77","Ozone","BABYLON","36-103-0002","AQS","5","77",".","36","22"
"08/20/2017","40","PM2.5","Rahway","34-039-2003","AQS","6","39","10","40","28"
"08/21/2017","64","Ozone","Leonia","34-003-0006","AQS","6","64",".","59","38"
"08/22/2017","90","Ozone","MT NINHAM","36-079-0005","AQS","6","90",".","69","33"
"08/23/2017","47","PM2.5","Rahway","34-039-2003","AQS","6","42","12","47","29"
"08/24/2017","46","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","43",".","46","37"
"08/25/2017","40","PM2.5","Jersey City Firehouse","34-017-1003","AQS","6","36",".","40","29"
"08/26/2017","52","PM2.5","Jersey City Firehouse","34-017-1003","AQS","7","48","15","52","38"
"08/27/2017","54","PM2.5","Jersey City Firehouse","34-017-1003","AQS","9","44",".","54","30"
"08/28/2017","53","PM2.5","Jersey City Firehouse","34-017-1003","AQS","6","38",".","53","30"
"08/29/2017","30","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","28","12","30","25"
"08/30/2017","51","PM2.5","Jersey City Firehouse","34-017-1003","AQS","5","41",".","51","23"
"08/31/2017","51","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","48",".","51","31"
"09/01/2017","36","PM2.5","Jersey City Firehouse","34-017-1003","AQS","5","34","6","36","22"
"09/02/2017","36","PM2.5","Jersey City Firehouse","34-017-1003","AQS","7","35",".","36","23"
"09/03/2017","34","Ozone","RIVERHEAD","36-103-0004","AQS","5","34",".","21","20"
"09/04/2017","53","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","47","18","53","17"
"09/05/2017","68","PM2.5","Intermediate School 143","36-061-0115","AQS","7","61",".","68","28"
"09/06/2017","71","PM2.5","Jersey City Firehouse","34-017-1003","AQS","7","37",".","71","42"
"09/07/2017","56","PM2.5","Jersey City Firehouse","34-017-1003","AQS","6","45","10","56","28"
"09/08/2017","35","Ozone","RIVERHEAD","36-103-0004","AQS","5","35",".","30","24"
"09/09/2017","29","NO2","Fort Lee Near Road","34-003-0010","AQS","5","24",".","27","29"
"09/10/2017","36","PM2.5","Jersey City Firehouse","34-017-1003","AQS","6","31","10","36","25"
"09/11/2017","40","NO2","IS 52","36-005-0110","AQS","8","34",".","33","40"
"09/12/2017","41","NO2","IS 52","36-005-0110","AQS","10","39",".","40","41"
"09/13/2017","51","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","49","14","51","43"
"09/14/2017","54","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","42",".","54","32"
"09/15/2017","56","PM2.5","Jersey City Firehouse","34-017-1003","AQS","8","46",".","56","53"
"09/16/2017","71","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","58","26","71","38"
"09/17/2017","84","Ozone","Rutgers University","34-023-0011","AQS","8","84",".","79","29"
"09/18/2017","41","PM2.5","Jersey City Firehouse","34-017-1003","AQS","6","38",".","41","31"
"09/19/2017","53","PM2.5","Jersey City Firehouse","34-017-1003","AQS","5","23","22","53","16"
"09/20/2017","29","Ozone","Colliers Mills","34-029-0006","AQS","3","29",".","28","20"
"09/21/2017","49","PM2.5","Jersey City Firehouse","34-017-1003","AQS","5","36",".","49","23"
"09/22/2017","41","PM2.5","Jersey City Firehouse","34-017-1003","AQS","5","41","18","41","22"
"09/23/2017","44","Ozone","Ramapo","34-031-5001","AQS","8","44",".","43","43"
"09/24/2017","126","Ozone","Rutgers University","34-023-0011","AQS","8","126",".","57","53"
"09/25/2017","97","Ozone","Flemington","34-019-0001","AQS","10","97","23","65","54"
"09/26/2017","71","Ozone","Ramapo","34-031-5001","AQS","7","71",".","45","29"
"09/27/2017","50","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","33",".","50","27"
"09/28/2017","70","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","35","20","70","23"
"09/29/2017","39","NO2","Elizabeth Lab","34-039-0004","AQS","9","36",".","31","39"
"09/30/2017","39","PM2.5","Jersey City Firehouse","34-017-1003","AQS","10","32",".","39","34"
"10/01/2017","39","NO2","QUEENS COLLEGE 2","36-081-0124","AQS","9","35","6","31","39"
"10/02/2017","52","NO2","Newark Firehouse","34-013-0003","AQS","9","42",".","47","52"
"10/03/2017","61","PM2.5","Elizabeth Lab","34-039-0004","AQS","10","36",".","61","42"
"10/04/2017","48","PM2.5","Union City High School","34-017-0008","AQS","7","47","29","48","37"
"10/05/2017","52","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","50",".","52","35"
"10/06/2017","77","NO2","Fort Lee Near Road","34-003-0010","AQS","8","44",".","56","77"
"10/07/2017","59","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","43","20","59","47"
"10/08/2017","29","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","6","28",".","29","25"
"10/09/2017","35","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","25",".","35","29"
"10/10/2017","40","PM2.5","Jersey City Firehouse","34-017-1003","AQS","8","36","10","40","40"
"10/11/2017","48","PM2.5","Jersey City Firehouse","34-017-1003","AQS","8","34",".","48","40"
"10/12/2017","38","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","31",".","38","31"
"10/13/2017","51","PM2.5","Jersey City Firehouse","34-017-1003","AQS","8","31","18","51","36"
"10/14/2017","33","Ozone","MILLBROOK","36-027-0007","AQS","6","33",".","32","32"
"10/15/2017","34","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","31",".","34","26"
"10/16/2017","39","PM2.5","Jersey City Firehouse","34-017-1003","AQS","5","26","8","39","20"
"10/17/2017","35","NO2","PFIZER LAB SITE","36-005-0133","AQS","7","27",".","29","35"
"10/18/2017","50","NO2","PFIZER LAB SITE","36-005-0133","AQS","8","43",".","46","50"
"10/19/2017","57","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","48","16","57","45"
"10/20/2017","75","PM2.5","IS 52","36-005-0110","AQS","6","42",".","75","43"
"10/21/2017","58","PM2.5","Rahway","34-039-2003","AQS","10","43",".","58","49"
"10/22/2017","73","NO2","Newark Firehouse","34-013-0003","AQS","14","48","24","64","73"
"10/23/2017","39","NO2","IS 52","36-005-0110","AQS","6","35",".","33","39"
"10/24/2017","39","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","33",".","39","21"
"10/25/2017","45","PM2.5","Jersey City Firehouse","34-017-1003","AQS","7","32","10","45","44"
"10/26/2017","56","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","31",".","56","39"
"10/27/2017","48","PM2.5","Jersey City Firehouse","34-017-1003","AQS","7","37",".","48","43"
